City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
476,Buala,SB,77.45,light rain,-8.145,159.5921,Maringe Lagoon Lodge
477,Rawah,IQ,90.93,clear sky,34.4816,41.9093,ديوان الشيخ نامق محسن الراوي
478,Zhenjiang,CN,70.81,light rain,32.2092,119.4342,JI Hotel Zhenjiang Railway Station
479,Brownsville,US,89.89,broken clouds,25.9018,-97.4975,University Inn & Suites
480,Mogadishu,SO,79.11,overcast clouds,2.0371,45.3438,Hotel Juba
482,Mamallapuram,IN,87.06,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
483,Misratah,LY,78.71,scattered clouds,32.3754,15.0925,فندق الماسة
486,Salina Cruz,MX,90.9,scattered clouds,16.1667,-95.2,Amerik HOTEL
487,Oranjestad,AW,89.55,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
491,Maturin,VE,83.91,broken clouds,9.75,-63.1767,Hotel Residencial La Pichincha
493,San Rafael Del Sur,NI,92.37,broken clouds,11.8485,-86.4384,Hospedaje El Chino
495,Icod De Los Vinos,ES,71.15,few clouds,28.3724,-16.7119,Hotel Rural El Patio
496,Waingapu,ID,76.35,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
497,Crixas,BR,93.65,scattered clouds,-14.5489,-49.9692,RISO HOTEL
502,Morristown,US,81.3,overcast clouds,36.214,-83.2949,Days Inn by Wyndham Morristown
503,Sijunjung,ID,71.64,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
506,Imeni Karla Libknekhta,RU,72.12,clear sky,51.6232,35.4775,
510,Port-Gentil,GA,80.56,light rain,-0.7193,8.7815,Fengshui Residence
511,Gurh,IN,77.49,overcast clouds,24.5167,81.5167,Scheduled Tribe Hostel
514,Batesville,US,77.85,few clouds,35.7698,-91.641,"Holiday Inn Express & Suites Batesville, an IHG Hotel"
515,Pacific Grove,US,70.02,overcast clouds,36.6177,-121.9166,Lovers Point Inn
516,Ambilobe,MG,73.04,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
517,Labuhan,ID,79.21,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
523,Balad,IQ,94.8,clear sky,34.0164,44.1453,رضاوي زنوبة
526,Santa Cruz De Tenerife,ES,71.82,scattered clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
529,Aksu,CN,81.55,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
530,Dabra,IN,86.97,broken clouds,25.9,78.3333,Pankaj Sharma House
531,Acari,PE,77.32,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
534,Inongo,CD,77.31,broken clouds,-1.95,18.2667,Hotel Du Lac
535,Aras,ES,81.01,scattered clouds,42.5617,-2.356,Jardines de Viana Spa
536,Longyan,CN,74.32,overcast clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
538,Port Hedland,AU,73.45,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
540,Hollister,US,76.35,clear sky,36.8525,-121.4016,Hollister Inn
541,Barra Do Corda,BR,88.5,broken clouds,-5.5,-45.25,Belchior Palace Hotel
543,Manggar,ID,81.95,broken clouds,-2.8833,108.2667,Guest Hotel
544,Nhulunbuy,AU,75.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
547,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
548,Hambantota,LK,81.05,overcast clouds,6.1241,81.1185,Bungalow 63
549,Alta Floresta,BR,93.02,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
550,Haikou,CN,80.73,clear sky,20.0458,110.3417,Sun City Restaurant
551,Soyo,AO,82.45,scattered clouds,-6.1349,12.3689,Hotel Mpampa
553,Bertoua,CM,76.26,overcast clouds,4.5833,13.6833,Hotel De Paris
555,Hobyo,SO,80.1,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
556,Polis,CY,71.42,clear sky,35.0367,32.4264,Marion
557,Rosarito,MX,73.67,few clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
559,Quang Ngai,VN,79.21,overcast clouds,15.1167,108.8,Central Hotel
560,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
562,Lasa,IT,70.68,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
563,Rafai,CF,77.85,overcast clouds,4.95,23.9167,
564,Resistencia,AR,86.09,light rain,-27.4606,-58.9839,Niyat Urban Hotel
566,Trairi,BR,85.82,few clouds,-3.2778,-39.2689,janelas do mar
567,Bandarbeyla,SO,79.74,scattered clouds,9.4942,50.8122,JABIR HOTEL
568,Zhuhai,CN,86.72,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
570,Lompoc,US,73.11,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
571,Charcas,MX,77.43,few clouds,23.1333,-101.1167,Hotel El Malacate
572,Labrea,BR,94.44,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
576,La Asuncion,VE,83.93,clear sky,11.0333,-63.8628,Colinas de Matasiete
578,Sao Felix Do Xingu,BR,91.26,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
580,Nizwa,OM,93.81,clear sky,22.9333,57.5333,Orient Apartments
581,Mazamari,PE,84.94,scattered clouds,-11.3258,-74.5308,Hospedaje Ratto
582,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
587,Yumen,CN,71.98,clear sky,40.2833,97.2,
589,Asheboro,US,89.47,broken clouds,35.7079,-79.8136,Hampton Inn Asheboro
592,Laureles,US,89.92,scattered clouds,26.1092,-97.4941,Los Fresnos Inn
595,Santa Barbara,US,75.15,clear sky,34.7333,-120.0343,Upper Ballard Campground
596,Mana,GF,79.43,overcast clouds,5.6592,-53.7767,LE SAMANA
598,Bubaque,GW,79.32,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
601,Paoua,CF,79.48,light rain,7.2427,16.4406,Quartier Paoua Elien
602,Neiafu,TO,74.08,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
614,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
615,Salalah,OM,86.09,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
616,Auki,SB,75.94,overcast clouds,-8.7676,160.7034,Auki Motel
622,Bousso,TD,93.96,scattered clouds,10.4795,16.7117,
625,Masuguru,TZ,74.35,broken clouds,-11.3667,38.4167,
626,Jiuquan,CN,74.64,broken clouds,39.7432,98.5174,Jiuquan Hotel
628,Colares,PT,80.28,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
629,Agadir,MA,70.25,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
630,Amol,IR,74.52,clear sky,36.4696,52.3507,Shahr Hotel
631,Kudahuvadhoo,MV,83.73,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
633,Urumqi,CN,72.55,moderate rain,43.801,87.6005,Hua Ling Grand Hotel Urumqi
636,Kibala,TD,93.15,clear sky,9.1104,18.3463,hotel safari
