City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Moranbah,AU,-22.0016,148.0466,51.58,49,17,10.0,few clouds
186,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,100,96,1.81,overcast clouds
187,Marsh Harbour,BS,26.5412,-77.0636,78.19,72,57,9.55,broken clouds
188,Kahului,US,20.8947,-156.47,76.84,81,20,10.36,few clouds
189,Sept-Iles,CA,50.2001,-66.3821,45.25,46,75,8.99,broken clouds
190,Saskylakh,RU,71.9167,114.0833,33.04,88,29,6.31,scattered clouds
191,Shimoda,JP,34.6667,138.95,70.11,93,100,13.15,moderate rain
192,Taksimo,RU,56.3444,114.8794,41.74,86,6,2.48,clear sky
193,Provideniya,RU,64.3833,-173.3,40.3,55,4,10.89,clear sky
194,Inverell,AU,-29.7833,151.1167,41.16,70,6,1.99,clear sky
195,Udachnyy,RU,66.4167,112.4,50.9,61,99,14.41,overcast clouds
196,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,76,14,13.96,few clouds
197,Yatou,CN,37.15,122.3833,58.03,61,0,4.68,clear sky
198,Gushikawa,JP,26.3544,127.8686,76.62,88,75,11.12,broken clouds
199,Hovd,MN,48.0056,91.6419,56.43,39,4,2.73,clear sky
200,Ust-Ishim,RU,57.6935,71.1665,51.78,63,99,4.21,overcast clouds
201,Kabalo,CD,-6.05,26.9167,78.31,47,81,3.51,broken clouds
202,Puerto Madero,MX,14.7208,-92.4215,91.6,62,40,2.3,scattered clouds
203,Bojnurd,IR,37.4747,57.329,76.95,33,0,4.61,clear sky
204,Dzhebariki-Khaya,RU,62.2167,135.8,46.04,71,100,3.69,overcast clouds
205,Gat,IL,31.61,34.7642,77.4,41,0,5.68,clear sky
206,Cherskiy,RU,68.75,161.3,44.38,55,80,13.27,broken clouds
207,Caravelas,BR,-17.7125,-39.2481,82.04,59,13,8.57,few clouds
208,Taunggyi,MM,20.7833,97.0333,74.66,57,95,1.97,overcast clouds
209,Port Elizabeth,ZA,-33.918,25.5701,66.49,59,0,11.5,clear sky
210,Khovu-Aksy,RU,51.1333,93.6,42.21,73,4,2.86,clear sky
211,Leningradskiy,RU,69.3833,178.4167,27.7,95,16,9.93,few clouds
212,Harwich,GB,51.9419,1.2844,64.0,72,85,8.01,overcast clouds
213,Kodiak,US,57.79,-152.4072,49.51,81,90,6.91,overcast clouds
214,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,45,20,16.11,few clouds
215,Husavik,IS,66.0449,-17.3389,60.71,52,18,17.25,few clouds
216,Palmer,US,42.1584,-72.3287,63.64,45,90,1.99,overcast clouds
217,Tambopata,PE,-12.7333,-69.1833,87.69,62,40,4.5,scattered clouds
218,Deputatskiy,RU,69.3,139.9,40.87,66,12,6.73,few clouds
219,Saint-Pierre,RE,-21.3393,55.4781,71.28,78,90,5.75,overcast clouds
220,Mackay,AU,-21.15,149.2,59.04,81,1,8.05,clear sky
221,Ituporanga,BR,-27.4144,-49.6025,75.0,96,100,2.35,overcast clouds
222,Ketchikan,US,55.3422,-131.6461,52.27,58,75,9.22,broken clouds
223,Maragogi,BR,-9.0122,-35.2225,80.94,66,53,11.9,broken clouds
224,Elko,US,41.0002,-115.5012,66.06,27,81,1.99,broken clouds
225,Balaipungut,ID,1.05,101.2833,77.41,97,26,1.25,scattered clouds
226,Ulaanbaatar,MN,47.9077,106.8832,50.13,53,40,8.55,scattered clouds
227,Itoman,JP,26.1247,127.6694,77.4,88,75,4.61,broken clouds
228,Muromtsevo,RU,56.3724,75.2418,44.6,68,28,2.71,scattered clouds
229,Laguna,US,38.421,-121.4238,80.44,59,1,1.99,clear sky
230,Bayji,IQ,34.9311,43.487,93.2,9,0,9.33,clear sky
231,Rupert,US,42.6191,-113.6772,60.75,48,1,18.07,clear sky
232,Okhotsk,RU,59.3833,143.3,35.28,88,99,11.12,overcast clouds
233,Upernavik,GL,72.7868,-56.1549,36.12,86,6,3.83,clear sky
234,Zhigansk,RU,66.7697,123.3711,43.88,80,4,17.02,clear sky
235,Faya,SA,18.3851,42.4509,73.51,43,37,5.5,scattered clouds
236,West Wendover,US,40.7391,-114.0733,72.61,23,1,6.91,clear sky
237,Goderich,CA,43.7501,-81.7165,45.55,93,100,16.11,light rain
238,Aykhal,RU,66.0,111.5,47.41,72,99,14.45,overcast clouds
239,Kilrush,IE,52.6397,-9.4833,60.89,74,68,1.01,broken clouds
240,Vangaindrano,MG,-23.35,47.6,68.63,89,0,4.29,clear sky
241,Neryungri,RU,56.6709,124.6491,37.51,95,90,4.38,overcast clouds
242,Panama City,PA,8.9936,-79.5197,90.43,71,40,6.91,scattered clouds
243,Bafoulabe,ML,13.8065,-10.8321,107.67,12,28,4.45,scattered clouds
244,Bambous Virieux,MU,-20.3428,57.7575,72.21,88,40,8.75,scattered clouds
245,Cascais,PT,38.6979,-9.4215,80.46,45,20,11.01,few clouds
246,Berlevag,NO,70.8578,29.0864,35.6,75,75,27.63,light rain
247,Sakakah,SA,29.9697,40.2064,94.57,9,0,9.15,clear sky
248,Balakhta,RU,55.38,91.6,36.99,81,72,6.69,broken clouds
249,Campo Maior,BR,-4.8278,-42.1686,87.01,55,72,4.54,broken clouds
250,Port Augusta,AU,-32.5,137.7667,53.74,66,100,4.74,overcast clouds
251,Dehui,CN,44.5333,125.7,50.31,61,100,2.55,overcast clouds
252,Woonsocket,US,42.0029,-71.5148,65.44,54,1,8.05,clear sky
253,Qui Nhon,VN,13.7667,109.2333,81.01,88,100,11.21,overcast clouds
254,Tucuma,BR,-0.1833,-50.05,82.67,72,41,4.97,moderate rain
255,Guerrero,MX,17.6667,-100.0,84.83,43,62,3.24,broken clouds
256,Nanortalik,GL,60.1432,-45.2371,41.0,76,23,10.27,few clouds
257,Newtownards,GB,54.5924,-5.6909,57.94,84,75,5.01,broken clouds
258,Hanzhong,CN,33.0728,107.0303,66.6,71,77,3.18,broken clouds
259,Podyuga,RU,61.095,40.8647,53.8,75,6,10.4,clear sky
260,Matara,LK,5.9485,80.5353,80.01,86,100,12.71,overcast clouds
261,Clyde River,CA,70.4692,-68.5914,32.23,86,20,4.61,few clouds
262,Fremont,US,37.5483,-121.9886,74.19,70,40,3.0,scattered clouds
263,Lebu,CL,-37.6167,-73.65,55.31,82,100,8.34,overcast clouds
264,Cardston,CA,49.2,-113.3019,55.08,35,3,18.41,clear sky
265,Asau,RO,46.4333,26.4,58.28,100,100,4.16,light rain
266,Yar-Sale,RU,66.8333,70.8333,41.58,44,47,6.46,scattered clouds
267,Putina,PE,-15.4667,-69.4333,47.12,55,99,4.54,overcast clouds
268,Zitiste,RS,45.485,20.5497,68.02,76,77,7.27,broken clouds
269,Aljezur,PT,37.3191,-8.8033,71.1,51,66,11.9,broken clouds
270,Sergeyevka,KZ,53.88,67.4158,60.82,43,0,6.22,clear sky
271,Belen,TR,36.4891,36.2233,68.14,64,20,6.49,few clouds
272,Zermatt,CH,46.0213,7.7491,60.3,53,16,3.65,few clouds
273,Chicama,PE,-7.8447,-79.1469,64.94,69,67,8.93,broken clouds
274,Lamu,KE,-2.2717,40.902,78.39,77,10,14.85,clear sky
275,Port Hawkesbury,CA,45.6169,-61.3485,53.19,45,1,11.01,clear sky
276,Plettenberg Bay,ZA,-34.0527,23.3716,61.16,76,1,10.78,light rain
277,Jand,PK,33.4299,72.0193,94.05,21,35,3.91,scattered clouds
278,Byron Bay,AU,-28.65,153.6167,57.15,72,45,16.64,scattered clouds
279,Takoradi,GH,4.8845,-1.7554,83.57,73,79,8.81,broken clouds
280,Tessalit,ML,20.1986,1.0114,106.38,5,94,15.55,overcast clouds
281,Mount Gambier,AU,-37.8333,140.7667,37.31,93,40,0.0,scattered clouds
282,Mar Del Plata,AR,-38.0023,-57.5575,64.0,44,0,1.01,clear sky
283,Whitianga,NZ,-36.8333,175.7,59.02,88,99,12.24,light rain
284,Meadow Lake,US,34.8014,-106.5436,80.62,28,0,1.83,clear sky
285,Ixtapa,MX,20.7,-105.2,81.63,65,1,6.91,clear sky
286,Salisbury,GB,51.0693,-1.7957,65.68,61,90,6.91,overcast clouds
287,Saldanha,ZA,-33.0117,17.9442,59.43,94,13,5.61,light rain
288,Belis,RO,46.65,23.0333,54.0,93,100,5.23,overcast clouds
289,Lethem,GY,3.3803,-59.7968,83.23,71,97,2.89,overcast clouds
290,Freeport,US,40.6576,-73.5832,69.78,51,40,15.01,scattered clouds
291,Lucapa,AO,-8.4192,20.7447,73.63,38,5,3.06,clear sky
292,The Valley,AI,18.217,-63.0578,89.46,70,20,10.36,few clouds
293,Shenjiamen,CN,29.9576,122.298,67.64,75,100,6.6,overcast clouds
294,Carman,CA,49.4992,-98.0016,61.92,29,7,17.27,clear sky
295,Tres Palos,MX,18.1833,-101.6167,84.81,33,89,4.61,overcast clouds
296,San Andres,CO,12.5847,-81.7006,87.82,66,40,11.5,scattered clouds
297,Valleyview,CA,55.0667,-117.2859,46.44,93,100,14.97,overcast clouds
298,Faanui,PF,-16.4833,-151.75,79.95,68,62,4.59,broken clouds
