City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Goderich,CA,2021-05-27 16:03:00,43.7501,-81.7165,59.04,66,60,16.33
118,Ponta Do Sol,PT,2021-05-27 16:03:01,32.6667,-17.1,75.0,69,59,3.56
119,Half Moon Bay,US,2021-05-27 16:03:01,37.4636,-122.4286,63.23,71,90,4.61
120,Madang,PG,2021-05-27 16:03:01,-5.2246,145.7966,76.21,93,100,1.63
121,Georgetown,MY,2021-05-27 16:01:24,5.4112,100.3354,81.9,85,20,1.01
122,Una,IN,2021-05-27 16:03:02,20.8167,71.0333,85.51,68,87,12.77
123,Laureles,US,2021-05-27 16:03:02,26.1092,-97.4941,87.94,74,5,14.0
124,Chokurdakh,RU,2021-05-27 16:03:02,70.6333,147.9167,32.9,77,0,8.9
125,Seoul,KR,2021-05-27 15:58:23,37.5683,126.9778,55.0,88,40,4.97
126,Salalah,OM,2021-05-27 16:03:03,17.0151,54.0924,83.19,76,35,9.44
127,Kutum,SD,2021-05-27 16:03:03,14.2,24.6667,89.37,21,98,9.91
128,Saint-Jerome,CA,2021-05-27 16:03:04,45.7804,-74.0036,58.23,49,9,9.35
129,Port Hedland,AU,2021-05-27 16:03:04,-20.3167,118.5667,75.25,64,100,4.61
130,Bilma,NE,2021-05-27 16:03:04,18.6853,12.9164,103.68,4,0,6.06
131,Cherskiy,RU,2021-05-27 16:03:05,68.75,161.3,50.04,43,20,6.67
132,Uvinza,TZ,2021-05-27 16:03:05,-5.1036,30.3911,71.42,72,56,1.57
133,Bambous Virieux,MU,2021-05-27 16:03:05,-20.3428,57.7575,76.21,85,24,8.7
134,Atambua,ID,2021-05-27 16:03:06,-9.1061,124.8925,71.33,77,31,8.3
135,Tiarei,PF,2021-05-27 16:03:06,-17.5333,-149.3333,73.42,72,10,4.25
136,Lisala,CD,2021-05-27 16:03:06,2.15,21.5167,73.81,96,93,4.16
137,Bonnyville,CA,2021-05-27 16:03:06,54.2668,-110.735,54.41,66,100,19.84
138,North Bend,US,2021-05-27 16:03:07,43.4065,-124.2243,55.92,87,100,1.01
139,Totma,RU,2021-05-27 16:03:07,59.9747,42.7642,57.04,72,79,4.59
140,Atasu,KZ,2021-05-27 16:03:07,48.6814,71.6433,71.02,42,51,20.89
141,Jinxiang,CN,2021-05-27 16:03:08,27.4327,120.6062,72.77,96,100,5.19
142,Port Macquarie,AU,2021-05-27 16:03:08,-31.4333,152.9167,44.89,69,0,9.22
143,Novopokrovka,UA,2021-05-27 16:03:08,49.8425,36.5477,77.38,66,98,4.85
144,Yambio,SS,2021-05-27 16:03:09,4.5721,28.3955,73.8,93,63,0.76
145,Caravelas,BR,2021-05-27 16:03:09,-17.7125,-39.2481,82.74,57,28,9.15
146,Weligama,LK,2021-05-27 16:03:09,5.9667,80.4167,79.77,87,100,17.47
147,Batemans Bay,AU,2021-05-27 16:03:10,-35.7167,150.1833,50.92,75,6,6.2
148,Moron,AR,2021-05-27 15:58:14,-34.6534,-58.6198,69.98,60,31,7.99
149,Sur,OM,2021-05-27 16:03:10,22.5667,59.5289,89.22,61,2,1.83
150,Darhan,MN,2021-05-27 16:03:11,49.4867,105.9228,52.2,46,51,7.14
151,Hasaki,JP,2021-05-27 16:03:11,35.7333,140.8333,61.2,89,100,6.08
152,Shelbyville,US,2021-05-27 16:03:11,35.4834,-86.4603,82.65,67,75,1.99
153,Portobelo,PA,2021-05-27 16:03:11,9.55,-79.65,86.83,77,95,10.8
154,Hovd,MN,2021-05-27 16:03:12,48.0056,91.6419,69.73,27,12,3.85
155,Carnarvon,AU,2021-05-27 16:03:12,-24.8667,113.6333,75.99,68,75,7.67
156,Upernavik,GL,2021-05-27 16:03:12,72.7868,-56.1549,37.51,90,39,3.02
157,Altamont,US,2021-05-27 16:03:13,42.2068,-121.7372,58.77,40,40,1.01
158,Sitka,US,2021-05-27 16:03:13,57.0531,-135.33,48.61,82,48,4.03
159,Scarborough,GB,2021-05-27 16:03:13,54.2797,-0.4044,62.65,77,59,1.99
160,Bakel,SN,2021-05-27 16:03:14,14.905,-12.4568,104.09,11,97,6.62
161,Lorengau,PG,2021-05-27 16:03:14,-2.0226,147.2712,78.08,85,100,5.82
162,Souillac,MU,2021-05-27 16:03:14,-20.5167,57.5167,76.35,87,89,7.96
163,Namatanai,PG,2021-05-27 16:03:15,-3.6667,152.4333,79.9,82,100,11.01
164,Kimbe,PG,2021-05-27 16:03:15,-5.5502,150.1429,75.16,91,100,3.87
165,Ancud,CL,2021-05-27 16:03:15,-41.8697,-73.8203,55.42,80,3,24.09
166,Kavaratti,IN,2021-05-27 16:03:16,10.5669,72.642,83.28,77,7,16.51
167,Faanui,PF,2021-05-27 16:03:16,-16.4833,-151.75,80.29,68,7,7.9
168,Tuatapere,NZ,2021-05-27 16:03:16,-46.1333,167.6833,49.82,94,100,3.91
169,Ahuimanu,US,2021-05-27 16:03:17,21.4447,-157.8378,74.86,76,97,6.64
170,Llanes,ES,2021-05-27 16:03:17,43.4198,-4.7549,68.02,81,100,10.65
171,Thompson,CA,2021-05-27 16:00:10,55.7435,-97.8558,50.56,23,38,5.82
172,Port Lincoln,AU,2021-05-27 16:03:17,-34.7333,135.8667,58.91,66,97,4.85
173,Eureka,US,2021-05-27 16:00:22,40.8021,-124.1637,63.19,80,98,1.01
174,Puerto Escondido,MX,2021-05-27 16:03:18,15.85,-97.0667,87.94,56,90,4.14
175,Norman Wells,CA,2021-05-27 16:03:18,65.282,-126.8329,42.04,69,100,7.87
176,Abha,SA,2021-05-27 16:03:18,18.2164,42.5053,72.18,47,22,6.4
177,Kaitangata,NZ,2021-05-27 16:03:19,-46.2817,169.8464,46.92,84,100,3.85
178,Leh,IN,2021-05-27 16:03:19,34.1667,77.5833,51.94,24,0,4.74
179,Cabo San Lucas,MX,2021-05-27 15:59:03,22.8909,-109.9124,90.61,42,29,8.77
180,Papara,BR,2021-05-27 16:03:19,-3.9839,-38.7273,86.4,52,17,8.37
181,Rio Grande,BR,2021-05-27 16:03:20,-32.035,-52.0986,70.95,56,1,9.33
